Count,Name,Sex,Age,Height,Weight,Team,Games,Season,Event,Medal,BMI
9671,Chad Paul Hedrick,M,28,180,76,United States,2006 Winter,Winter,"Speed Skating Men's 5,000 metres",Gold,23
9672,Chad Paul Hedrick,M,28,180,76,United States,2006 Winter,Winter,"Speed Skating Men's 10,000 metres",Silver,23
9673,Chad Paul Hedrick,M,32,180,76,United States,2010 Winter,Winter,"Speed Skating Men's 1,000 metres",Bronze,23
9674,Chad Paul Hedrick,M,32,180,76,United States,2010 Winter,Winter,Speed Skating Men's Team Pursuit (8 laps),Silver,23
9675,Lars Eugen Hedwall,M,23,176,67,Sweden,1920 Summer,Summer,"Athletics Men's Cross-Country, Team",Bronze,22
9676,"Frederike Johanna Maria ""Femke"" Heemskerk",F,20,180,68,Netherlands,2008 Summer,Summer,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,21
9677,"Frederike Johanna Maria ""Femke"" Heemskerk",F,24,180,68,Netherlands,2012 Summer,Summer,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,21
9678,Marianne Yvonne Heemskerk (-Oudkerk-),F,15,152,55,Netherlands,1960 Summer,Summer,Swimming Women's 100 metres Butterfly,Silver,24
9679,Gerhard Heer,M,28,180,65,West Germany,1984 Summer,Summer,"Fencing Men's epee, Team",Gold,20
9680,Mark Heese,M,26,184,86,Canada-1,1996 Summer,Summer,Beach Volleyball Men's Beach Volleyball,Bronze,25
9681,Clyde Hefer,M,23,187,80,Australia,1984 Summer,Summer,Rowing Men's Coxed Eights,Bronze,23
9682,Jayna Hefford,F,20,163,63,Canada,1998 Winter,Winter,Ice Hockey Women's Ice Hockey,Silver,24
9683,Jayna Hefford,F,24,163,63,Canada,2002 Winter,Winter,Ice Hockey Women's Ice Hockey,Gold,24
9684,Jayna Hefford,F,28,163,63,Canada,2006 Winter,Winter,Ice Hockey Women's Ice Hockey,Gold,24
9685,Jayna Hefford,F,32,163,63,Canada,2010 Winter,Winter,Ice Hockey Women's Ice Hockey,Gold,24
9686,Jayna Hefford,F,36,163,63,Canada,2014 Winter,Winter,Ice Hockey Women's Ice Hockey,Gold,24
9687,Beat Hefti,M,24,183,110,Switzerland-2,2002 Winter,Winter,Bobsleigh Men's Two,Bronze,33
9688,Beat Hefti,M,28,183,110,Switzerland-1,2006 Winter,Winter,Bobsleigh Men's Two,Bronze,33
9689,Beat Hefti,M,28,183,110,Switzerland-1,2006 Winter,Winter,Bobsleigh Men's Four,Bronze,33
9690,Beat Hefti,M,36,183,110,Switzerland-1,2014 Winter,Winter,Bobsleigh Men's Two,Silver,33
9691,Csaba Hegeds,M,23,187,82,Hungary,1972 Summer,Summer,"Wrestling Men's Middleweight, Greco-Roman",Gold,23
9692,Ferenc Hegeds,M,32,190,78,Hungary,1992 Summer,Summer,"Fencing Men's epee, Team",Silver,22
9693,Francis Hegerty,M,25,187,95,Australia,2008 Summer,Summer,Rowing Men's Coxless Fours,Silver,27
